,Discharge.stage@Herbert River,Discharge.stage@Herbert River,Discharge.stage@Herbert River,Discharge.stage@Herbert River
mm/dd/yyyy HH:MM:SS,ft^3/s,,,
Date-Time,Value,Grade,Approval,Interpolation Code
05/26/2018 23:30:00,1001.21806326554,,0,1
05/26/2018 23:45:00,989.047752542325,,0,1
05/27/2018 00:00:00,976.931294974456,,0,1
05/27/2018 00:15:00,1001.21806326554,,0,1
05/27/2018 00:30:00,976.931294974456,,0,1
05/27/2018 00:45:00,976.931294974456,,0,1
05/27/2018 01:00:00,982.982780625684,,0,1
05/27/2018 01:15:00,970.893318727797,,0,1
05/27/2018 01:30:00,989.047752542325,,0,1
05/27/2018 01:45:00,982.982780625684,,0,1
05/27/2018 02:00:00,970.893318727797,,0,1
05/27/2018 02:15:00,976.931294974456,,0,1
05/27/2018 02:30:00,976.931294974456,,0,1
05/27/2018 02:45:00,952.860679788181,,0,1
05/27/2018 03:00:00,946.876975202206,,0,1
05/27/2018 03:15:00,970.893318727797,,0,1
05/27/2018 03:30:00,946.876975202206,,0,1
05/27/2018 03:45:00,952.860679788181,,0,1
05/27/2018 04:00:00,917.163339832482,,0,1
05/27/2018 04:15:00,923.078668036396,,0,1
05/27/2018 04:30:00,917.163339832482,,0,1
05/27/2018 04:45:00,905.3739528321,,0,1
05/27/2018 05:00:00,934.950471277801,,0,1
05/27/2018 05:15:00,917.163339832482,,0,1
05/27/2018 05:30:00,923.078668036396,,0,1
05/27/2018 05:45:00,934.950471277801,,0,1
05/27/2018 06:00:00,940.906897716045,,0,1
05/27/2018 06:15:00,946.876975202206,,0,1
05/27/2018 06:30:00,929.007719975091,,0,1
05/27/2018 06:45:00,940.906897716045,,0,1
05/27/2018 07:00:00,940.906897716045,,0,1
05/27/2018 07:15:00,940.906897716045,,0,1
05/27/2018 07:30:00,934.950471277801,,0,1
05/27/2018 07:45:00,934.950471277801,,0,1
05/27/2018 08:00:00,934.950471277801,,0,1
05/27/2018 08:15:00,964.868875156445,,0,1
05/27/2018 08:30:00,958.857987663991,,0,1
05/27/2018 08:45:00,940.906897716045,,0,1
05/27/2018 09:00:00,952.860679788181,,0,1
05/27/2018 09:15:00,952.860679788181,,0,1
05/27/2018 09:30:00,958.857987663991,,0,1
05/27/2018 09:45:00,958.857987663991,,0,1
05/27/2018 10:00:00,934.950471277801,,0,1
05/27/2018 10:15:00,946.876975202206,,0,1
05/27/2018 10:30:00,923.078668036396,,0,1
05/27/2018 10:45:00,917.163339832482,,0,1
05/27/2018 11:00:00,929.007719975091,,0,1
05/27/2018 11:15:00,911.261759877842,,0,1
05/27/2018 11:30:00,911.261759877842,,0,1
05/27/2018 11:45:00,911.261759877842,,0,1
05/27/2018 12:00:00,905.3739528321,,0,1
05/27/2018 12:15:00,911.261759877842,,0,1
05/27/2018 12:30:00,876.142384671086,,0,1
05/27/2018 12:45:00,881.960952093767,,0,1
05/27/2018 13:00:00,899.499943501511,,0,1
05/27/2018 13:15:00,911.261759877842,,0,1
